Branch,Party,Allegiance,Seats
House,JxC,JxC,54
,Frente de Todos,PJ,68
,Produccion y Trabajo,JxC,1
,Juntos Somos Rio Negro,PJ,1
,Frente Renovador de la Concordia,PJ,1
,Cordoba Federal,PJ,1
,Consenso,Independiente,2
,Accion Federal,PJ,1
,Socialista,Independiente,1
,Total,,130
Senate,JxC,JxC,15
,Frente de Todos,PJ,26
,Produccion y Trabajo,JxC,1
,Avanzar San Luis,JxC,1
,Frente Renovador de la Concordia,PJ,1
,Justicialista 8 de Octubre,Independiente,1
,MPN,Independiente,1
,Juntos Somos Rio Negro,Independiente,1
,Mediar Argentina,Independiente,1
,Total,,48
Allegiances,JxC,JxC,0
,PJ,PJ,0
,Izquierda,Izquierda,0
,Libertario,Libertario,0
,Derecha,Derecha,0
,Independiente,Independiente,0
,Fin de tabla,,0